Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,934423104,WBD ,"31,166,810","421,063,603.10",0.277,Warner Bros Discovery Inc,Common Stock,Communication Services,01/23/2023
QQQ,22160N109,CSGP ,"5,219,557","411,040,113.75",0.271,CoStar Group Inc,Common Stock,Industrials,01/23/2023
QQQ,G39387108,GFS ,"6,995,650","410,364,829.00",0.270,GLOBALFOUNDRIES Inc,Common Stock,Information Technology,01/23/2023
QQQ,931427108,WBA ,"11,099,092","407,003,703.64",0.268,Walgreens Boots Alliance Inc,Common Stock,Consumer Staples,01/23/2023
QQQ,29355A107,ENPH ,"1,744,521","398,518,377.24",0.263,Enphase Energy Inc,Common Stock,Information Technology,01/23/2023
QQQ,217204106,CPRT ,"6,112,976","396,487,623.36",0.261,Copart Inc,Common Stock,Industrials,01/23/2023
QQQ,05722G100,BKR ,"12,852,972","393,172,413.48",0.259,Baker Hughes Co,Common Stock,Energy,01/23/2023
QQQ,47215P106,JD ,"6,234,607","380,685,103.42",0.251,JD.com Inc ADR,American Depository Receipt,Consumer Discretionary,01/23/2023
QQQ,92345Y106,VRSK ,"2,007,169","372,048,845.84",0.245,Verisk Analytics Inc,Common Stock,Industrials,01/23/2023
QQQ,311900104,FAST ,"7,350,914","360,121,276.86",0.237,Fastenal Co,Common Stock,Industrials,01/23/2023
QQQ,21037T109,CEG ,"4,196,808","353,119,425.12",0.233,Constellation Energy Corp,Common Stock,Utilities,01/23/2023
QQQ,25278X109,FANG ,"2,258,842","337,358,052.70",0.222,Diamondback Energy Inc,Common Stock,Energy,01/23/2023
QQQ,278642103,EBAY ,"6,964,685","331,936,887.10",0.219,eBay Inc,Common Stock,Consumer Discretionary,01/23/2023
QQQ,81181C104,SGEN ,"2,382,822","318,082,908.78",0.210,Seagen Inc,Common Stock,Health Care,01/23/2023
QQQ,22788C105,CRWD ,"2,801,375","297,786,162.50",0.196,Crowdstrike Holdings Inc,Common Stock,Information Technology,01/23/2023
QQQ,049468101,TEAM ,"1,903,046","294,172,850.68",0.194,Atlassian Corp,Common Stock,Information Technology,01/23/2023
QQQ,82968B103,SIRI ,"49,919,562","293,527,024.56",0.193,Sirius XM Holdings Inc,Common Stock,Communication Services,01/23/2023
QQQ,03662Q105,ANSS ,"1,118,215","291,619,289.85",0.192,ANSYS Inc,Common Stock,Information Technology,01/23/2023
QQQ,23804L103,DDOG ,"3,748,196","282,201,676.84",0.186,Datadog Inc,Common Stock,Information Technology,01/23/2023
QQQ,016255101,ALGN ,"1,002,708","252,060,737.04",0.166,Align Technology Inc,Common Stock,Health Care,01/23/2023
QQQ,98980G102,ZS ,"1,850,943","229,072,705.68",0.151,Zscaler Inc,Common Stock,Information Technology,01/23/2023
QQQ,98980L101,ZM ,"3,152,844","223,757,338.68",0.147,Zoom Video Communications Inc,Common Stock,Information Technology,01/23/2023
QQQ,76954A103,RIVN ,"11,719,233","212,118,117.30",0.140,Rivian Automotive Inc,Common Stock,Consumer Discretionary,01/23/2023
QQQ,549498103,LCID ,"21,567,225","190,222,924.50",0.125,Lucid Group Inc,Common Stock,Consumer Discretionary,01/23/2023
